 ID,Name,Duration,Start,Finish,Predecessors,Resources,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,
29,Data Pipeline Configuration - User Management Configuration,1day,10/26/2023,10/26/2023,48SS,Whiz AI Team,Not Started,,,,,
30,PinBoard Management - Best Practices,1day,10/26/2023,10/26/2023,48SS,Whiz AI Team,Not Started,,,,,
31,"Current Testing Process (SIT, UAT, Load, Stress etc.)",1day,10/26/2023,10/26/2023,48SS,Whiz AI Team,Not Started,,,,,
32,Artifacts handover,1day,10/26/2023,10/26/2023,48SS,Whiz AI Team,Not Started,,,,,
33,Production Support Transition & Shadow – IDV,3days,10/27/2023,10/31/2023,,Whiz AI Team,Not Started,,,,,
34,Data Overview - Design & Data Model,1day,10/27/2023,10/27/2023,32,Whiz AI Team,Not Started,,,,,
35,ETL Architecture - Data Flow Process and Orchestration Framework,1day,10/27/2023,10/27/2023,34SS,Whiz AI Team,Not Started,,,,,
36,Data Extraction - SQL Queries,1day,10/30/2023,10/30/2023,35,Whiz AI Team,Not Started,,,,,
37,PinBoard Management - Creating and Sharing PinBoards,1day,10/30/2023,10/30/2023,36SS,Whiz AI Team,Not Started,,,,,
38,Data Pipeline Configuration - Model configurations,1day,10/31/2023,10/31/2023,37,Whiz AI Team,Not Started,,,,,
39,Data Pipeline Configuration - User Management Configuration,1day,10/31/2023,10/31/2023,38SS,Whiz AI Team,Not Started,,,,,
40,PinBoard Management - Best Practices,1day,10/31/2023,10/31/2023,38SS,Whiz AI Team,Not Started,,,,,
41,"Current Testing Process (SIT, UAT, Load, Stress etc.)",1day,10/31/2023,10/31/2023,38SS,Whiz AI Team,Not Started,,,,,
42,Artifacts handover,1day,10/31/2023,10/31/2023,38SS,Whiz AI Team,Not Started,,,,,
43,Production Support Transition & Shadow – ONC,7days,10/26/2023,11/03/2023,,Whiz AI Team,Not Started,,,,,
44,Data Overview - Design & Data Model,1day,11/01/2023,11/01/2023,42,Whiz AI Team,Not Started,,,,,
45,ETL Architecture - Data Flow Process and Orchestration Framework,1day,11/01/2023,11/01/2023,44SS,Whiz AI Team,Not Started,,,,,
46,Data Extraction - SQL Queries,1day,11/02/2023,11/02/2023,45,Whiz AI Team,Not Started,,,,,
47,Data Pipeline Configuration - Model configurations,1day,11/03/2023,11/03/2023,46,Whiz AI Team,Not Started,,,,,
48,Data Pipeline Configuration - Model configurations,1day,10/26/2023,10/26/2023,28,Whiz AI Team,Not Started,,,,,
49,PinBoard Management - Creating and Sharing PinBoards,1day,11/02/2023,11/02/2023,46SS,Whiz AI Team,Not Started,,,,,
50,Data Pipeline Configuration - User Management Configuration,1day,11/03/2023,11/03/2023,47SS,Whiz AI Team,Not Started,,,,,
51,Production Support Transition & Shadow – IMM,7days,10/31/2023,11/08/2023,,Whiz AI Team,Not Started,,,,,
52,Data Overview - Design & Data Model,1day,11/06/2023,11/06/2023,53,Whiz AI Team,Not Started,,,,,
53,Artifacts handover,1day,11/03/2023,11/03/2023,47SS,Whiz AI Team,Not Started,,,,,
54,"Current Testing Process (SIT, UAT, Load, Stress etc.)",1day,10/31/2023,10/31/2023,47SS,Whiz AI Team,Not Started,,,,,
55,Data Pipeline Configuration - User Management Configuration,1day,11/08/2023,11/08/2023,69SS,Whiz AI Team,Not Started,,,,,
56,PinBoard Management - Creating and Sharing PinBoards,1day,11/07/2023,11/07/2023,25SS,Whiz AI Team,Not Started,,,,,
57,PinBoard Management - Best Practices,1day,11/07/2023,11/07/2023,25SS,Whiz AI Team,Not Started,,,,,
58,"Current Testing Process (SIT, UAT, Load, Stress etc.)",1day,11/08/2023,11/08/2023,69SS,Whiz AI Team,Not Started,,,,,
59,ETL Architecture - Data Flow Process and Orchestration Framework,1day,11/06/2023,11/06/2023,52SS,Whiz AI Team,Not Started,,,,,
60,Artifacts handover,1day,11/08/2023,11/08/2023,69SS,Whiz AI Team,Not Started,,,,,
61,"Infrastructure, Operational and Product Upgrade Activities",5days,11/08/2023,11/14/2023,,Whiz AI Team,Not Started,,,,,
62,Opertational Activities-Data Refresh Flow & Grafana Overview,1day,11/10/2023,11/10/2023,60FS+1day,Whiz AI Team,Not Started,,,,,
63,Product Version Upgrade-QA Process,1day,11/14/2023,11/14/2023,64,Whiz AI Team,Not Started,,,,,
64,Product Version Upgrade-Infra Upgrade  &Product Deployment Process ,1day,11/13/2023,11/13/2023,62,Whiz AI Team,Not Started,,,,,
65,Product Version Upgrade-Load Runner Process,1day,11/14/2023,11/14/2023,63SS,Whiz AI Team,Not Started,,,,,
66,Infrastructure-Performace Tuning & Scalability,1day,11/13/2023,11/13/2023,64SS,Whiz AI Team,Not Started,,,,,
67,"Infrastructure-Data Model Tuning,Data Understanding & J Meter Testing",1day,11/14/2023,11/14/2023,65SS,Whiz AI Team,Not Started,,,,,
68,Application Testing,1day,11/14/2023,11/14/2023,65SS,Whiz AI Team,Not Started,,,,,
69,Data Pipeline Configuration - Model configurations,1day,11/08/2023,11/08/2023,25,Whiz AI Team,Not Started,,,,,
